time [s],Cell Voltage [V],SOC [%]
579,3.513,11.10471807
580,3.513,11.1238972
581,3.514,11.14307633
582,3.515,11.16225547
583,3.5155,11.1814346
584,3.516,11.20061373
585,3.5155,11.21979287
586,3.515,11.238972
587,3.514,11.25815113
588,3.513,11.27733026
589,3.515,11.2965094
590,3.517,11.31568853
591,3.5185,11.33486766
592,3.52,11.3540468
593,3.521,11.37322593
594,3.522,11.39240506
595,3.522,11.4115842
596,3.522,11.43076333
597,3.523,11.44994246
598,3.524,11.4691216
599,3.524,11.48830073
600,3.524,11.50747986
601,3.524,11.526659
602,3.524,11.54583813
603,3.524,11.56501726
604,3.524,11.58419639
605,3.524,11.60337553
606,3.524,11.62255466
607,3.524,11.64173379
608,3.524,11.66091293
609,3.524,11.68009206
610,3.524,11.69927119
611,3.524,11.71845033
612,3.524,11.73762946
613,3.524,11.75680859
614,3.524,11.77598773
615,3.524,11.79516686
616,3.524,11.81434599
617,3.524,11.83352512
618,3.524,11.85270426
619,3.524,11.87188339
620,3.524,11.89106252
621,3.524,11.91024166
622,3.524,11.92942079
623,3.524,11.94859992
624,3.524,11.96777906
625,3.529,11.98695819
626,3.534,12.00613732
627,3.529,12.02531646
628,3.524,12.04449559
629,3.524,12.06367472
630,3.524,12.08285386
631,3.524,12.10203299
632,3.524,12.12121212
633,3.5275,12.14039125
634,3.531,12.15957039
635,3.5285,12.17874952
636,3.526,12.19792865
637,3.526,12.21710779
638,3.526,12.23628692
639,3.526,12.25546605
640,3.526,12.27464519
641,3.525,12.29382432
642,3.524,12.31300345
643,3.5295,12.33218259
644,3.535,12.35136172
645,3.5315,12.37054085
646,3.528,12.38971998
647,3.531,12.40889912
648,3.534,12.42807825
649,3.534,12.44725738
650,3.534,12.46643652
651,3.5325,12.48561565
652,3.531,12.50479478
653,3.5325,12.52397392
654,3.534,12.54315305
655,3.53,12.56233218
656,3.526,12.58151132
657,3.5285,12.60069045
658,3.531,12.61986958
659,3.533,12.63904871
660,3.535,12.65822785
661,3.5345,12.67740698
662,3.534,12.69658611
663,3.5345,12.71576525
664,3.535,12.73494438
665,3.5345,12.75412351
666,3.534,12.77330265
667,3.5345,12.79248178
668,3.535,12.81166091
669,3.5345,12.83084005
670,3.534,12.85001918
671,3.5345,12.86919831
672,3.535,12.88837745
673,3.535,12.90755658
674,3.535,12.92673571
675,3.535,12.94591484
676,3.535,12.96509398
677,3.535,12.98427311
678,3.535,13.00345224
679,3.535,13.02263138
680,3.535,13.04181051
681,3.535,13.06098964
682,3.535,13.08016878
683,3.535,13.09934791
684,3.535,13.11852704
685,3.5395,13.13770618
686,3.544,13.15688531
687,3.5395,13.17606444
688,3.535,13.19524357
689,3.535,13.21442271
690,3.535,13.23360184
691,3.535,13.25278097
692,3.535,13.27196011
693,3.536,13.29113924
694,3.537,13.31031837
695,3.5375,13.32949751
696,3.538,13.34867664
697,3.5375,13.36785577
698,3.537,13.38703491
699,3.536,13.40621404
700,3.535,13.42539317
701,3.5365,13.44457231
702,3.538,13.46375144
703,3.5415,13.48293057
704,3.545,13.5021097
705,3.5455,13.52128884
706,3.546,13.54046797
707,3.546,13.5596471
708,3.546,13.57882624
709,3.545,13.59800537
710,3.544,13.6171845
711,3.545,13.63636364
712,3.546,13.65554277
713,3.545,13.6747219
714,3.544,13.69390104
715,3.545,13.71308017
716,3.546,13.7322593
717,3.546,13.75143843
718,3.546,13.77061757
719,3.546,13.7897967
720,3.546,13.80897583
721,3.546,13.82815497
722,3.546,13.8473341
723,3.5455,13.86651323
724,3.545,13.88569237
725,3.5455,13.9048715
726,3.546,13.92405063
727,3.546,13.94322977
728,3.546,13.9624089
729,3.546,13.98158803
730,3.546,14.00076717
731,3.546,14.0199463
732,3.546,14.03912543
733,3.546,14.05830456
734,3.546,14.0774837
735,3.546,14.09666283
736,3.546,14.11584196
737,3.546,14.1350211
738,3.546,14.15420023
739,3.546,14.17337936
740,3.546,14.1925585
741,3.551,14.21173763
742,3.556,14.23091676
743,3.551,14.2500959
744,3.546,14.26927503
745,3.5495,14.28845416
746,3.553,14.30763329
747,3.5495,14.32681243
748,3.546,14.34599156
749,3.5495,14.36517069
750,3.553,14.38434983
751,3.5495,14.40352896
752,3.546,14.42270809
753,3.551,14.44188723
754,3.556,14.46106636
755,3.551,14.48024549
756,3.546,14.49942463
757,3.5505,14.51860376
758,3.555,14.53778289
759,3.552,14.55696203
760,3.549,14.57614116
761,3.5485,14.59532029
762,3.548,14.61449942
763,3.549,14.63367856
764,3.55,14.65285769
765,3.55,14.67203682
766,3.55,14.69121596
767,3.551,14.71039509
768,3.552,14.72957422
769,3.554,14.74875336
770,3.556,14.76793249
771,3.5555,14.78711162
772,3.555,14.80629076
773,3.556,14.82546989
774,3.557,14.84464902
775,3.5565,14.86382815
776,3.556,14.88300729
777,3.5555,14.90218642
778,3.555,14.92136555
779,3.5555,14.94054469
